T;B;d;v
10;B10;844.3;5.513
20;B10;838.8;4.097
30;B10;831.3;3.523
40;B10;826.7;2.909
50;B10;820.8;2.590
60;B10;812.5;2.262
70;B10;804.2;2.002
80;B10;795.8;1.742
90;B10;786.8;1.528
10;B20;847.5;6.37
20;B20;837;4.277
30;B20;831.5;3.51
40;B20;826;2.966
50;B20;819.5;2.676
60;B20;813;2.386
70;B20;806.5;2.062
80;B20;800;1.738
90;B20;789.4;1.532
10;B30;853.7;6.87
20;B30;847.99;4.577
30;B30;841.1;3.81
40;B30;836.6;3.166
50;B30;830.5;2.876
60;B30;822.5;2.606
70;B30;815.19;2.282
80;B30;808;1.863
90;B30;798.33;1.652
10;B40;863.9;7.37
20;B40;857.73;4.877
30;B40;850.7;4.11
40;B40;846.2;3.366
50;B40;839.5;3.076
60;B40;832;2.826
70;B40;823.89;2.502
80;B40;816;1.998
90;B40;806.13;1.772
10;B50;874.1;7.8
20;B50;867.4;5.24
30;B50;860.2;4.39
40;B50;855.8;3.54
50;B50;848.5;3.35
60;B50;841.4;3.06
70;B50;832.6;2.61
80;B50;823.5;2.15
90;B50;814.5;1.9
10;B60;878.2;8.35
20;B60;871.3;5.474
30;B60;864.04;4.55
40;B60;859.14;3.66
50;B60;852.34;3.4
60;B60;844.7;3.07
70;B60;836.5;2.628
80;B60;827.4;2.18
90;B60;818.66;1.906
10;B70;882.2;8.9
20;B70;875.2;5.708
30;B70;867.84;4.72
40;B70;862.28;3.78
50;B70;856.18;3.45
60;B70;848;3.075
70;B70;840.3;2.708
80;B70;831.42;2.21
90;B70;822.82;1.912
10;B80;886.2;9.45
20;B80;879.1;5.942
30;B80;871.64;4.88
40;B80;865.4;3.9
50;B80;859.9;3.48
60;B80;851.3;3.082
70;B80;844.1;2.788
80;B80;835.4;2.24
90;B80;826.98;1.918
10;B90;890;10.00
20;B90;883;6.176
30;B90;875.4;5.03
40;B90;868.5;4.02
50;B90;863.8;3.5
60;B90;854.6;3.086
70;B90;847.9;2.868
80;B90;839.3;2.27
90;B90;831.4;1.924
10;B100;894.1;10.55
20;B100;886.9;6.41
30;B100;879.4;5.233
40;B100;872.4;4.143
50;B100;865.2;3.529
60;B100;857.9;3.091
70;B100;850.7;2.70
80;B100;843.5;2.3
90;B100;836.3;1.93
